Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Quantity,Description,Placement
SN74HC125N,Texas Instruments,296-1572-5-ND,1,IC BUFFER NON-INVERT 6V 14DIP,U2
A 14-LC-TT,Assmann WSW Components,AE9989-ND,1,CONN IC DIP SOCKET 14POS TIN,U2
1-2199298-1,TE Connectivity,A120346-ND,1,CONN IC DIP SOCKET 6POS TIN,U3
H11L1M,ON Semiconductors,H11L1-MQT-ND,1,OPTOISO 4.17KV OPN COLL 6DIP,U3
PRPC028SACN-RC,Sullins Connector Solutions,S1131EC-28-ND,2,CONN HEADER VERT 28POS 2.54MM,U1
DEV-16771,SparkFun Electronics,1568-DEV-16771-ND,1,TEENSY 4.1 W/OUT HDRS K66 EVAL,U1
SDS-50J,CUI Inc.,CP-2350-ND,2,CONN RCPT FMALE DIN 5POS SOLDER,"J29,J30"
CF14JT220R,Stackpole Electronics Inc,CF14JT220RCT-ND,3,RES 220 OHM 1/4W 5% AXIAL,"R2,R3,R7"
CF14JT10K0,Stackpole Electronics Inc,CF14JT10K0CT-ND,1,RES 10K OHM 1/4W 5% AXIAL,R4
CF14JT470R,Stackpole Electronics Inc,CF14JT470RTR-ND,1,RES 470 OHM 1/4W 5% AXIAL,R8
USB-A1HSW6,On Shore Technology Incs,ED2989-ND,1,USB-A Receptacle Connector 4 Pos,J19
C315C104M5U5TA7303M,KEMET,399-9859-2-ND,2,CAP CER 0.1UF 50V Z5U RADIAL,"C2,C1"
PPTC041LFBN-RC,Sullins Connector Solutions,S7002-ND,1,CONN HDR 4POS 0.1 TIN PCB,J32
1N914,ON Semiconductor,1N914FS-ND,1,DIODE GEN PURP 100V 200MA DO35,D1
,,,,,
Optional,,,,,
Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Quantity,Description,Placement
PPTC241LFBN-RC,Sullins Connector Solutions,S7022-ND,2,CONN HDR 24POS 0.1 TIN PCB,U1